项目管理中心策划设计业务收入台账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同基本信息,,,,,,,,,,,,,各部门合同额,,,,,,,,,,,,,,,收款条件,,,,节点执行情况,,,,,,,,,,,业务部门履约进展,,,累计,,,,,,各部门收入分配,,,,,,,,,,,,,,各部门回款分配,,,,,,,,,,,,,,法律合规,,,,开始时间,45323.00 ,,,,,,,,,
序号,区域,签订日期,项目名称,项目编号, ,合同编号,类型,甲方合同编号,"甲方单位
名称",总建面,单价描述,合同总金额,客研,创作中心,创作一室,创作二室,创作三室,工程中心,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,D e si g n R,项目管理,外委归属部门,次序,合同付款节点,比例,合同节点金额,收入金额,形式,收入日期,产值确认金额,产值确认日期,实际开票金额,开票日期,回款金额,回款时间,应收账款,备注,设计进度,"商务
沟通情况",成果确认单确认日期,累计收入,累计开票金额,累计回款金额,剩余收入,已确认收入未开票,已开票未回款,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,客研,创作中心,创作一室,创作二室,创作三室,工程,"工程精装
工作室",咨询,BIM中心,"BIM智慧
建造工作室",TOD中心,精装中心,DesignR,项目管理,形成方式,合同审批方式,,,结束时间,45351.00 ,,,,,,,,,
说明,区域简称,"统一以XXXX/X/XX的
日期格式，预计签订日期字体标蓝","与项目编号
表的名称一致","与项目编号
表的项目号一致",合同全称，勿简写,法务出具的设计公司编号,方案/施工图/策划/可研/管理/协同,,甲方单位全称,㎡,描述,"为含税价
公式：各部门合同额之和",填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,填写金额，没有写0,,,,"指项目管理
中心",部门：外委金额,付款次序,合同节点描述,合同节点规定比例,节点金额,"指对应节点开票/产值确认单金额
公式：各部门收入求和，预计金额字体标蓝","开票/产值确认单
","为财务入账日期
；预计收入
日期字体标蓝色",输入,以产值确认单确认节点收入的输入日期，直接开票的填“/”,输入,输入开票日期,公式：各部门回款求和，预计金额字体标蓝,"预计回款
时间字体标蓝色，日期以“年/月/10/20/30标记",公式：收入-回款,付款相关内容,业务部门汇报设计进度。例：完成XXXX，XXXX未完成,项目管理中心填写与甲方沟通进展,"资金会日期/
成果确认日期",公式：AB列求和,公式：AG列求和,公式：AI列求和,公式：合同总额-累计收入,公式：累计收入-累计开票,公式：累计开票-累计回款,"手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝",,,,"手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝","手动输入数值，
预计数据字体标蓝",,,,"手动输入数值，
预计数据字体标蓝",直接委托/投标(公开/邀请)/比价,OA/线下,,,合同额,,,收入(不含税）,,,回款,,,,
1,贵州,43631.00 ,张家口万全项目,无,张家口市万全区建筑工程设计合同,CRCCRE-SJ-CZ-2019-007,方案+施工图,CRCCRE-CX-BJRD-ZJK-QQ-2019-007,中铁房地产集团张家口建设开发有限公司（甲方）,355047.68 ,"
方案18元/平米、施工图23.5/平米",14734478.72 ,0.00 ,0.00 ,0.00 ,6390858.24 ,0.00 ,8343620.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,0.00 ,工程中心：2340639,1.00 ,合同签订后,0.20 ,2946895.74 ,2946895.75 ,产值确认单,43777.00 ,2946895.75 ,43777.00 ,3000000.00 ,43823.00 ,3000000.00 ,43818.00 ,0.35 ,,合同签订,,43631.00 ,9872100.74 ,9872100.74 ,7551420.00 ,4862377.98 ,0.00 ,2320680.74 ,,,,3400469.16 ,,4150951.19 ,,,,,,,,,,,,1300000.00 ,,1700000.00 ,,,,,,,,,投标,线下,,,项目管理中心,0.00 ,,项目管理中心,0.00,,项目管理中心,159.72,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00 ,全部规划方案设计部分完成，按照万全区规划委员会上会深度要求完成方案册制作，且通过甲方委托的第三方审核且乙方配合甲方根据第三方审核的结果对其设计图进行调整，并取得规划方案红线图，并经甲方确认七日内。,0.06 ,884068.72 ,884068.72 ,产值确认单,43777.00 ,884068.72 ,43777.00 ,2500000.00 ,43917.00 ,2500000.00 ,43921.00 ,,,完成,,,,,,,,,,,,,,,,,,,,,,,,,,1150000.00 ,,1350000.00 ,,,,,,,,,,,,,TOD与规划研究中心,0.00 ,,TOD与规划研究中心,0.00,,TOD与规划研究中心,0.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00 ,提供综合管线初步设计图，并经甲方确认七日内,0.04 ,589379.15 ,589379.15 ,产值确认单,43777.00 ,589379.15 ,43777.00 ,1000000.00 ,43938.00 ,1000000.00 ,44134.00 ,,,完成,,,,,,,,,,,,,,,,,,,,,,,,,,460000.00 ,,540000.00 ,,,,,,,,,,,,,创作中心,0.00 ,,创作中心,0.00,,创作中心,74.11,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00 ,提供建筑施工图内审图纸（包括施工解释性图纸）后七日内,0.06 ,920904.92 ,920904.92 ,产值确认单,43777.00 ,920904.92 ,43777.00 ,1051420.00 ,44328.00 ,1051420.00 ,44328.00 ,,,完成,,,,,,,,,,,,,,,,,,,,,,,,,,490469.00 ,,560951.00 ,,,,,,,,,,,,,创作一室,95.00 ,,创作一室,0.00,,创作一室,40.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00 ,根据甲方内审意见，以及市政、园林设计单位意见，完成建筑施工图纸修改，并经甲方确认后七日内,0.05 ,736723.94 ,736723.94 ,产值确认单,43777.00 ,736723.94 ,43777.00 ,,,,,,,完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,创作二室,200.00 ,,创作二室,0.00,,创作二室,50.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00 ,建筑施工图完成外审批复，取得外审单位批文，提交正式施工图纸后七日内,0.05 ,736723.94 ,736723.94 ,产值确认单,43777.00 ,736723.94 ,43777.00 ,,,,,,,完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,创作三室,0.00 ,,创作三室,0.00,,创作三室,0.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00 ,建筑施工图完成人防批复，取得当地人防单位批文，提交正式施工图纸后七日内,0.03 ,368361.97 ,368361.97 ,产值确认单,43777.00 ,368361.97 ,43777.00 ,,,,,,,完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,咨询中心,0.00 ,,咨询中心,0.00,,咨询中心,0.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00 ,取得建设工程规划许可证后七日内,0.03 ,368361.97 ,368361.97 ,产值确认单,43777.00 ,368361.97 ,43777.00 ,,,,,,,完成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,咨询工作室,0.00 ,,咨询工作室,0.00,,咨询工作室,82.77,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00 ,全部规划方案设计部分完成，按照万全区规划委员会上会深度要求完成方案册制作，且通过甲方委托的第三方审核且乙方配合甲方根据第三方审核的结果对其设计图进行调整，并取得规划方案红线图，并经甲方确认七日内。,0.10 ,1473447.87 ,2320680.39 ,产值确认单,44532.00 ,2320680.39 ,44547.00 ,700000.00 ,44547.00 ,700000.00 ,44580.00 ,,,,,,,,,,,,,,,2320680.39 ,,,,,,,,,,,,,,700000.00 ,,,,,,,,,,,,,,,工程设计中心,0.00 ,,工程设计中心,0.00,,工程设计中心,0.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620680.74 ,45946.00 ,1620680.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620680.74 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00 ,提供综合管线施工图，与外部协作设计单位协调完毕，并经甲方确认七日内,0.04 ,552542.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,精装中心,0.00 ,,精装中心,0.00,,精装中心,0.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00 ,提供建筑施工图内审图纸（包括施工解释性图纸）后七日内,0.05 ,736723.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIM中心,0.00 ,,BIM中心,0.00,,BIM中心,21.80,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00 ,根据甲方内审意见，以及市政、园林设计单位意见，完成建筑施工图纸修改，并经甲方确认后七日内,0.04 ,589379.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BIM中心
智慧建造工作室",0.00 ,,"BIM中心
智慧建造工作室",1.50,,"BIM中心
智慧建造工作室",0.00,,,
