"name","year","wind"
"Allen",1980,165
"Dorian",2019,160
"Gilbert",1988,160
"Wilma",2005,160
"Irma",2017,155
"Mitch",1998,155
"Rita",2005,155
"Andrew",1992,150
"Anita",1977,150
"David",1979,150
"Dean",2007,150
"Felix",2007,150
"Katrina",2005,150
"Maria",2017,150
"Isabel",2003,145
"Ivan",2004,145
"Matthew",2016,145
"Emily",2005,140
"Hugo",1989,140
"Ian",2022,140
"Lorenzo",2019,140
"Michael",2018,140
"Floyd",1999,135
"Georges",1998,135
"Gustav",2008,135
"Igor",2010,135
"Iota",2020,135
"Joaquin",2015,135
"Jose",2017,135
"Lenny",1999,135
"Sam",2021,135
"Charley",2004,130
"Dennis",2005,130
"Eta",2020,130
"Florence",2018,130
"Gert",1999,130
"Ida",2021,130
"Laura",2020,130
"Luis",1995,130
"Opal",1995,130
"Bret",1999,125
"Earl",2010,125
"Edouard",1996,125
"Fabian",2003,125
"Frances",2004,125
"Gabrielle",1989,125
"Gloria",1985,125
"Gonzalo",2014,125
"Helene",1988,125
"Ike",2008,125
"Iris",2001,125
"Joan",1988,125
"Karl",2004,125
"Lili",2002,125
"Paloma",2008,125
"Cindy",1999,120
"Delta",2020,120
"Ella",1978,120
"Felix",1995,120
"Fiona",2022,120
"Gladys",1975,120
"Hortense",1996,120
"Isaac",2000,120
"Julia",2010,120
"Katia",2011,120
"Keith",2000,120
"Michelle",2001,120
"Nicole",2016,120
"Ophelia",2011,120
"Teddy",2020,120
"Bill",2009,115
"Claudette",1991,115
"Danielle",2010,115
"Debby",1982,115
"Diana",1984,115
"Frederic",1979,115
"Greta",1978,115
"Harvey",1981,115
"Harvey",2017,115
"Omar",2008,115
"Alberto",2000,110
"Bertha",2008,110
"Danny",2015,110
"Elena",1985,110
"Eloise",1975,110
"Emily",1987,110
"Erika",1997,110
"Humberto",2019,110
"Isidore",2002,110
"Karl",2010,110
"Kate",2003,110
"Larry",2021,110
"Alex",2004,105
"Belle",1976,105
"Edouard",2014,105
"Erin",2001,105
"Fran",1996,105
"Fred",2009,105
"Gaston",2016,105
"Gordon",2006,105
"Grace",2021,105
"Gustav",1990,105
"Helene",2006,105
"Irene",1981,105
"Irene",2011,105
"Jeanne",2004,105
"Kate",1985,105
"Alicia",1983,100
"Bertha",1996,100
"Beta",2005,100
"Bob",1991,100
"Bonnie",1998,100
"Bonnie",2022,100
"Caroline",1975,100
"Emily",1993,100
"Epsilon",2020,100
"Felix",2001,100
"Floyd",1981,100
"Frances",1976,100
"Frances",1980,100
"Isidore",1996,100
"Lee",2017,100
"Lili",1996,100
"Maria",2005,100
"Marilyn",1995,100
"Michael",2012,100
"Ophelia",2017,100
"Otto",2016,100
"Rina",2011,100
"Roxanne",1995,100
"Sandy",2012,100
"Zeta",2020,100
"Alex",2010,95
"Bonnie",1992,95
"Charley",1992,95
"Danielle",2004,95
"Doris",1975,95
"Earl",2022,95
"Florence",1994,95
"Gert",2017,95
"Gordon",2012,95
"Helene",2018,95
"Humberto",1995,95
"Irene",1999,95
"Iris",1995,95
"Oscar",2018,95
"Sally",2020,95
"Chris",2018,90
"Danielle",1998,90
"Dean",1989,90
"Dennis",1999,90
"Earl",1986,90
"Emmy",1976,90
"Erin",1989,90
"Faye",1975,90
"Gert",1981,90
"Gloria",1976,90
"Grace",1991,90
"Humberto",2001,90
"Ida",2009,90
"Irene",2005,90
"Ivan",1980,90
"Jeanne",1998,90
"Jerry",2019,90
"Josephine",1984,90
"Juan",2003,90
"Karl",1998,90
"Katia",2017,90
"Kirk",2012,90
"Paula",2010,90
"Paulette",2020,90
"Arthur",2014,85
"Bonnie",1980,85
"Diana",1990,85
"Dolly",2008,85
"Earl",1998,85
"Erin",1995,85
"Ernesto",2012,85
"Flossie",1978,85
"Gert",1993,85
"Gloria",1979,85
"Gustav",2002,85
"Isidore",1990,85
"Jeanne",1980,85
"Jose",1999,85
"Michael",2000,85
"Richard",2010,85
"Tomas",2010,85
"Candice",1976,80
"Claudette",2003,80
"Cora",1978,80
"Danny",1985,80
"Emily",1981,80
"Florence",2006,80
"Hanna",2020,80
"Humberto",2007,80
