Year,区域,签订日期,项目名称,合同编号,类型,甲方名称,合同总金额,key
2019,贵州,2019-06-15,张家口万全项目,CRCCRE-SJ-CZ-2019-007,方案+施工图,中铁房地产集团张家口建设开发有限公司（甲方）,14734478.72,1
2019,创投,2019-06-01,平谷夏各庄项目（完成）,CRCCRE-SJ-ZX-2019-007,咨询+BIM,北京润谷置业有限公司,1513000,2
2019,东北,2019-03-08,"长春西派唐颂一期
（完成）",CRCCRE-SJ-ZX-2019-002,咨询,长春创华房地产开发有限公司,650000,3
2019,北方,2019-04-11,天津国印文苑项目（完成）,CRCCRE-SJ-ZX-2019-001,咨询,天津弘创置业有限公司,788465,4
2019,北方,2019-12-18,济南曹家馆项目（完成）,CRCCRE-SJ-ZX-2019-016,咨询,中铁房地产集团济南置业有限公司,1076114,5
2019,北方,2019-12-10,"房山文娱项目
（完成）",CRCCRE-SJ-BIM-2019-007,BIM,中铁房地产集团北方有限公司,353078.4,6
2019,北方,2019-12-10,房山文娱项目,CRCCRE-SJ-ZX-2019-013,咨询,中铁房地产集团北方有限公司,147116,7
2020,北方,2020-04-08,正定项目A号、B号地块精装咨询（完成）,CRCCRE-SJ-XM-2020-001,管理,河北兴铁房地产开发有限公司,220000,8
2020,北方,2020-04-08,正定项目A号、B号地块及售楼处景观咨询（完成）,CRCCRE-SJ-XM-2020-002,管理,河北兴铁房地产开发有限公司,290000,9
2020,北方,2020-04-17,正定项目售楼处精装咨询（完成）,CRCCRE-SJ-XM-2020-003,管理,河北兴铁房地产开发有限公司,290000,10
2020,北方,2020-04-18,正定项目A号、B号地块方案,CRCCRE-SJ-CZ-2020-006,方案,河北兴铁房地产开发有限公司,4378140,11
2020,东北,2020-03-17,长春西派唐颂二期（完成）,CRCCRE-SJ-ZX-2020-005,咨询,长春创华房地产开发有限公司,1000000,12
2020,东北,2020-03-17,长春西派唐颂二期（完成）,CRCCRE-SJ-BIM-2020-002,BIM,长春创华房地产开发有限公司,970818,13
2019,北方,2019-12-15,青岛郑州路项目,CRCCRE-SJ-CZ-2019-019,可研,中铁房地产集团济南置业有限公司,200000,14
2019,创投（终止）,2019-12-16,创投可研（终止）,CRCCRE-SJ-CZ-2019-018,可研,中铁房地产集团张家口建设开发有限公司,1000000,15
